asset_id,asset_type,asset_age_years,substation_region,manufacturer,power_load_mw,load_utilization_pct,voltage_fluctuation_pct,frequency_deviation_hz,transformer_temperature_c,oil_quality_score,equipment_health_score,vibration_level,maintenance_overdue_days,maintenance_events_last_12m,inspection_score,previous_outages_12m,avg_outage_duration_minutes,customer_complaints_last_12m,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,storm_risk_index,customers_served,estimated_revenue_loss,regulatory_penalty_cost,legacy_asset_code,grid_cluster_id,monitoring_batch_id,administrative_reference,grid_failure_flag
100000,Transmission Line,39,Central,ABB,282.834499581033,81.2601778695765,1.41116101459347,-0.369930316250832,66.3409155525521,23.9932692794963,69.5015712651879,0.00459483028750984,65,3,48.5179135841717,4,38.2205271841732,8,20.8821083722553,47.8889772722445,13.2008158681311,19.4566275338536,66.8963920463888,39815,586776.070558247,340322.796882618,139462,36,1711,810874,0
100001,Switchgear,29,Central,Schneider,113.757291013643,70.5539735869822,7.71705566347472,0.374569842632433,76.4766704459551,50.6279166093684,78.0424328246391,18.3948125486579,100,5,84.0318131543071,3,92.1718812889809,5,48.1031655580719,65.4045892440193,103.513986745905,13.1647663162448,39.4873618036137,47370,801405.346049219,279753.231580432,336586,37,5380,257421,0
100002,Transmission Line,15,North,ABB,77.585841336725,39.1187281405929,11.1813475624171,0.0241027905256098,68.7746848017683,,19.7692851668854,9.39724193374155,104,5,52.1083133475028,2,36.029002160471,6,49.331742320766,25.2414052992282,90.2388286549668,32.9554594900601,58.1433044468892,25676,251440.743424437,355793.399422382,964465,36,7231,428171,1
100003,Transmission Line,8,South,Schneider,84.918625128926,96.994549995388,4.05200660088743,-0.162436077819151,81.8232165254698,,80.4194546882621,12.9991298900592,163,3,67.7215543747504,2,61.8862828064855,4,27.3110474143868,80.3401924609688,32.5092393301581,38.9332796243912,31.7477963987831,46451,942296.677281559,27470.2706551713,234440,36,8277,336795,0
100004,Circuit Breaker,21,South,Schneider,101.442960472991,84.9676888832677,5.13097323755078,-0.170869019122439,91.8744075292287,22.7687584684967,7.85517648342969,17.5279176628652,141,1,47.5293792275715,0,66.8797553464016,10,49.1098300152186,64.6359554038436,112.524043743991,43.2790012183998,88.4833887608202,21706,20110.477241251,464487.465959559,800776,4,6848,491835,1
100005,Substation,39,Central,ABB,68.1309213076626,98.0121080131295,11.0728772834368,-0.269914656563491,45.2466381513105,74.4622085593709,75.7668637894825,9.4809102994455,151,3,5.86355414819961,0,72.4522799906657,6,46.9553466474627,22.0136154553883,117.640004275245,62.3898839534105,94.4659443653234,33470,664948.376847877,38153.0046664336,339535,48,1513,858842,1
100006,Transformer,19,North,GE,24.2961354702539,66.411445876968,3.01439938905765,-0.435843841938681,44.2418153549624,7.88970174201446,39.5807909418012,6.26483119880902,19,5,31.4381211798432,3,56.6655620476228,6,25.8167479058157,81.6107147078797,99.7734301175115,24.7085038528039,10.9760164559278,50575,852924.634858488,264223.918831081,457093,41,9871,753448,1
100007,Transmission Line,23,South,GE,43.8792103652527,46.0749899032102,2.68455951063372,-0.347731408456195,79.7250452986602,60.4383319747429,36.0283019239696,19.4793716854564,13,5,83.7349208290816,0,91.3439031033993,5,22.3525221309538,58.4401270157129,87.6801400302621,38.3584675572361,92.2909989166096,68208,782344.935281123,370175.156128065,719204,19,1167,218995,1
100008,Circuit Breaker,11,Central,Siemens,72.4419437032977,93.9269255105119,3.66296119425424,0.0554168798691085,70.9425236474617,31.001145260623,43.0370427485549,18.4165113359818,151,5,82.7643662574021,2,27.5432724419499,7,11.4390744237945,74.7820888968412,21.123122051642,26.9225890517109,48.5558471986485,67435,248250.04635163,150470.475775967,576618,34,5505,173664,1
100009,Transmission Line,11,Central,GE,37.5591284773607,46.5597318327304,5.52439846139435,-0.803411329658792,77.2952783305316,78.5408082337784,7.10268564222341,7.39465034210263,72,5,18.3110028245789,1,80.4429266953479,6,27.295395425931,54.1219829739602,8.85504282187277,2.737837793235,39.7269846987975,16988,58411.7121523799,97011.2983077195,104657,18,2063,653817,1
