f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,grid_failure_flag
1.69256,4.07896,0.801334,-1.4064,-1.23778,-0.237369,-0.951841,0.671109,-1.73677,-0.467566,-0.00183575,-0.0559265,1.41175,1.3368,-0.781582,-0.520772,-1.35049,-0.490857,0.593732,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.801677,0.304846,0.271306,0.0496051,1.24976,0.44376,0.0216502,0.967566,1.45695,0.205032,1.15401,1.24194,0.705029,-0.000786814,1.5753,0.240123,1.25398,-0.789276,-0.361367,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.445559,-0.502567,-1.28495,0.849493,0.078771,-0.0738184,0.00181635,-1.05512,-0.105605,0.281901,1.15401,0.0752862,-0.00169614,0.445075,1.68167,-1.5046,0.871146,0.149385,0.288721,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
-1.06918,-0.338886,1.58029,-0.796637,-0.544498,0.803051,0.00181635,1.05007,0.519915,1.41571,-0.00183575,0.645879,-0.00169614,-0.446648,-0.224945,0.88894,-0.793669,0.432909,-0.631061,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0.0889709,0.0299674,0.98488,-0.547509,-0.572674,1.4785,-0.996597,-1.46866,1.3064,0.992934,-1.15768,-0.0920529,-1.41515,2.22852,1.66246,0.206733,1.51381,0.639025,1.34595,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1.69256,-0.713618,1.63067,0.824448,-0.903608,-1.65492,0.892789,0.88858,-0.0910747,1.1851,-0.00183575,-1.61475,-1.41515,0.445075,1.47592,-1.64482,1.66135,1.54544,1.55442,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
-0.0892056,-1.69209,0.0662236,-1.03622,-1.45801,-1.72244,-1.54042,-0.367453,-0.649593,-1.35155,1.15401,-0.680115,0.705029,0.445075,-0.354326,0.944133,1.14611,-0.241763,-1.35488,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0.267147,-1.25496,-0.940566,-1.11237,-1.16361,0.662053,0.380219,-0.490761,1.6453,-1.46686,1.15401,1.23109,-1.41515,-0.000786814,-0.654269,-0.06242,0.797358,0.405646,1.47864,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
-0.801912,-0.617388,1.42842,-0.886466,0.183399,0.0718618,-0.695705,-0.247485,1.46072,1.1851,1.15401,1.19562,-0.00169614,0.890936,-1.59919,0.647491,-1.12202,-0.136751,-0.0453652,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
-0.801912,-1.39604,-0.916568,-0.456669,-2.68614,0.498771,1.04186,-1.49478,-0.453384,-0.333046,1.15401,-1.15985,-0.708422,0.445075,-0.2263,-0.250004,-1.47581,-1.28382,-0.353017,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0.356236,-0.204896,-1.44636,1.38934,0.0942982,-1.31618,-1.41077,-1.12823,-1.44555,1.12745,-1.15768,0.0318112,-0.708422,-0.89251,0.92765,-0.770972,-1.33876,2.05311,-1.63271,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1.42529,0.950835,-1.63801,0.715744,0.570056,-0.845297,0.00181635,0.932013,1.51998,-1.69746,-0.579756,1.43777,0.705029,-1.33837,-0.653843,1.33238,0.267379,0.758293,1.18605,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.356236,-0.894705,-1.66712,1.09226,1.02055,-0.454641,-0.674293,1.05204,0.06526,-1.60138,0.576085,-1.48936,2.82521,0.445075,1.43458,-1.33516,0.526681,0.54725,-1.68269,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1.51462,-0.593562,-0.906568,1.31382,-0.419011,-1.26274,-1.36984,1.23793,-1.01122,-0.313829,0.576085,-1.07294,-0.00169614,-0.446648,0.972677,-1.47538,-1.32237,-0.0661952,0.576136,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.178059,-0.349655,-0.996673,-0.397462,-0.939715,-0.00726821,-0.706162,1.57696,-0.272839,0.762328,-0.579756,-0.189053,-0.708422,0.445075,-0.325604,-0.292281,0.99792,-0.465823,-0.56708,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
-1.60371,-0.485446,1.42671,1.08676,-0.553403,-0.115605,-0.465234,-0.103359,1.34303,0.0897298,0.576085,-0.000744787,2.11848,0.890936,-0.988109,0.115775,1.30267,-0.875668,-0.402408,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
0.356236,-0.194242,-0.493674,-0.734651,1.65158,0.243245,-1.09254,0.307177,-0.789725,-0.967211,-0.579756,-0.790484,0.705029,-0.000786814,0.0952284,-0.898075,-1.2205,-0.802857,-0.186026,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.890765,-1.57471,-1.57589,1.61786,0.486833,-0.211786,-0.0663116,1.58559,-1.02847,1.22354,2.30985,0.0953726,-0.708422,-0.446648,1.00525,0.447387,-0.795786,0.26407,-0.523145,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.60347,1.10352,1.00799,0.134517,-0.381525,1.37523,-1.75748,-0.473301,-0.789485,1.56945,1.15401,1.35011,2.11848,-0.89251,-1.31197,-0.46078,-1.23956,-1.381,1.39133,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
-1.60371,-0.419308,0.756041,1.18221,-0.329631,-0.378509,0.00181635,0.348422,0.227215,0.108947,-0.00183575,0.420425,-0.00169614,0.890936,-0.549037,-0.981051,-1.26562,0.0704095,-0.0153813,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.0889709,-0.959517,-1.0806,1.10763,-0.339928,-1.29799,0.0866861,-1.2982,0.0201286,-1.44764,-0.579756,-0.636773,0.705029,-0.89251,0.66907,0.26706,0.019206,0.837277,0.459974,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1.15803,0.0884402,-0.193694,1.50971,0.224378,-0.136269,-1.61149,0.776374,1.32145,-0.467566,1.15401,0.832914,-0.00169614,-0.000786814,0.340731,0.534178,-0.248756,1.71121,1.04038,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
-0.712823,0.875417,-0.512446,0.299516,1.42155,-0.829277,1.12717,0.744546,0.206424,1.33884,-0.00183575,-1.40469,-0.00169614,0.890936,0.64742,0.265449,0.702263,-0.809208,1.43185,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
0.178059,-1.06564,0.953195,1.20659,0.462839,1.00559,-1.29542,-1.22322,0.180833,0.81998,0.576085,-1.24443,-0.708422,-0.000786814,-0.134626,0.121091,-1.26622,0.405728,0.535098,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0.445324,0.133498,0.303851,1.58865,0.531024,0.736412,0.223906,1.29401,0.216567,-0.947994,1.73193,-0.0436436,-0.708422,1.3368,-1.36229,-0.976371,0.0743199,-1.07098,-1.11718,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
