feature,importance
num__equipment_health_score,0.1616558319559244
num__storm_risk_index,0.1426157268920272
num__load_utilization_pct,0.08921401939749793
num__voltage_fluctuation_pct,0.0822875306945607
num__maintenance_overdue_days,0.08083663764061562
num__inspection_score,0.07553446388641896
num__oil_quality_score,0.07106853688311655
num__transformer_temperature_c,0.04215259812654963
num__rainfall_mm,0.0241166408957008
num__wind_speed_kmh,0.024023185588870368
num__temperature_c,0.02380236526893757
num__vibration_level,0.023292151472157557
num__power_load_mw,0.023098456779783182
num__frequency_deviation_hz,0.02297901348430925
num__humidity_pct,0.022539754461826537
num__asset_age_years,0.018495809341696694
num__previous_outages_12m,0.017774635815426185
num__customer_complaints_last_12m,0.011655451746013639
num__maintenance_events_last_12m,0.010105854162135223
cat__manufacturer_GE,0.002475624882849796
cat__substation_region_North,0.002361452670964694
cat__substation_region_Central,0.0023447313492611214
cat__asset_type_Transformer,0.0022823049712514297
cat__substation_region_South,0.002231354764293926
cat__manufacturer_Hitachi,0.0022157814727109845
cat__substation_region_West,0.0022142061520065335
cat__asset_type_Circuit Breaker,0.002191726036485984
cat__asset_type_Switchgear,0.0021076428953107343
cat__manufacturer_Schneider,0.0020563636231008065
cat__manufacturer_ABB,0.002054316084574537
cat__asset_type_Substation,0.002009783396926774
cat__substation_region_East,0.001975371300772526
cat__asset_type_Transmission Line,0.0019564111145258614
cat__manufacturer_Siemens,0.001907960621472473
cat__asset_type_transformer,0.0001851820626286677
cat__asset_type_TRANSFORMER,0.00018112210729518452
