asset_id,asset_type,substation_region,grid_failure_flag,predicted_failure_prob,expected_impact,risk_score
100000,Transmission Line,Central,0,0.07,927098.8674999999,64896.920725
100001,Switchgear,Central,0,0.015,1081158.5776,16217.378663999998
100002,Transmission Line,North,1,0.86,607234.1428,522221.362808
100003,Transmission Line,South,0,0.09,969766.94796,87279.0253164
100004,Circuit Breaker,South,1,0.975,484597.94324,472482.99465899996
100005,Substation,Central,1,0.895,703101.38147,629275.73641565
100006,Transformer,North,1,0.435,1117148.5537,485959.6208595
100007,Transmission Line,South,1,0.85,1152520.0914,979642.07769
100008,Circuit Breaker,Central,1,0.825,398720.5222,328944.43081499997
100009,Transmission Line,Central,1,0.725,155423.01046,112681.68258349999
100010,Circuit Breaker,North,1,0.92,267774.302225,246352.35804700002
100011,Transformer,South,0,0.135,332275.04909999995,44857.13162849999
100012,Substation,South,1,0.72,505143.8174,363703.548528
100013,Circuit Breaker,North,0,0.14,624643.9988,87450.159832
100014,Transmission Line,East,1,0.765,826326.858,632140.04637
100015,Transmission Line,North,1,0.95,1282821.4452,1218680.37294
100016,Transformer,East,0,0.015,754579.5625,11318.6934375
100017,Circuit Breaker,East,0,0.055,1292552.1672,71090.369196
100018,Switchgear,South,1,0.95,1116737.7052,1060900.8199399998
100019,Circuit Breaker,West,0,0.02,425592.27856,8511.8455712
100020,Transmission Line,North,1,0.86,1161376.1953,998783.527958
100021,Transformer,North,1,0.835,806817.6111999999,673692.705352
100022,Transformer,West,1,0.98,1079360.0544,1057772.853312
100023,Substation,West,1,0.985,137797.66107,135730.69615395
100024,Substation,South,0,0.055,1181520.0974,64983.60535700001
100025,Transformer,West,0,0.19,914144.622,173687.47818
100026,Switchgear,South,1,0.83,639895.1769,531112.9968269999
100027,Circuit Breaker,East,0,0.095,519865.865,49387.257175
100028,Switchgear,South,0,0.3,108422.94240799999,32526.882722399994
100029,Transformer,South,0,0.18,987961.2323,177833.021814
100030,Transformer,West,1,0.78,741926.56179,578702.7181962
100031,Circuit Breaker,Central,0,0.025,393004.2883,9825.107207500001
100032,Substation,South,1,0.875,700610.1109,613033.8470375
100033,Substation,East,1,0.92,1006357.2294899999,925848.6511308
100034,Substation,South,0,0.005,239547.06326999998,1197.73531635
100035,Transmission Line,North,0,0.005,630306.6221,3151.5331105000005
100036,Switchgear,Central,1,0.89,450034.994,400531.14466
100037,Transmission Line,South,0,0.055,1143374.555,62885.600524999994
100038,Transmission Line,Central,0,0.07,984325.9583,68902.81708100002
100039,Substation,West,0,0.005,815351.4426,4076.757213
100040,Circuit Breaker,North,1,0.955,357950.57246000005,341842.79669930006
100041,Substation,North,1,0.79,299653.5965,236726.341235
100042,Circuit Breaker,West,1,0.835,649458.8319,542298.1246365
100043,Transmission Line,West,0,0.11,443362.68128,48769.894940800004
100044,Substation,North,1,0.905,403808.24076,365446.4578878
100045,Transmission Line,South,0,0.02,397989.85667,7959.7971334
100046,Switchgear,South,0,0.325,640331.4764,208107.72983000003
100047,Circuit Breaker,Central,0,0.0,300383.63268,0.0
100048,Transformer,East,0,0.07,541821.687,37927.518090000005
100049,Transformer,North,0,0.34,854136.7899,290406.50856600003
100050,Transmission Line,West,0,0.075,400757.5255,30056.814412499996
100051,Switchgear,West,1,0.915,1037333.557,949160.204655
100052,Circuit Breaker,North,0,0.08,847619.6191,67809.569528
100053,Circuit Breaker,North,0,0.005,948401.1913,4742.0059565
100054,Circuit Breaker,Central,0,0.055,516029.51190000004,28381.6231545
100055,Transformer,South,0,0.14,641295.2513,89781.33518200001
100056,Switchgear,West,0,0.175,968890.3670000001,169555.814225
100057,Switchgear,South,1,0.965,1215489.9852,1172947.8357179998
100058,Substation,West,0,0.04,180767.20109999998,7230.6880439999995
100059,Transformer,Central,0,0.225,931197.5014300001,209519.43782175
100060,Switchgear,South,0,0.085,709206.44,60282.5474
100061,Switchgear,North,0,0.025,1211544.725,30288.618125000005
100062,Circuit Breaker,West,1,0.86,1085853.179,933833.73394
100063,Transmission Line,East,0,0.335,517202.5327,173262.8484545
