asset_type,substation_region,avg_failure_prob,total_expected_impact,avg_risk_score
Circuit Breaker,Central,0.4382931829830856,1613442365.8346345,377042.731830835
Circuit Breaker,East,0.40807364729458917,1796689849.479443,389975.4367464027
Circuit Breaker,North,0.43824216807558425,1800945540.7078052,359719.9833238307
Circuit Breaker,South,0.43302067183462534,1621250004.5528512,372571.9404723442
Circuit Breaker,West,0.41564687168610814,1549025812.6347096,333615.6151677051
Substation,Central,0.42141763463569165,1574491643.3673072,367747.7648819541
Substation,East,0.4418300153139357,1826149513.8781009,407608.2519682804
Substation,North,0.42797097759674135,1687930097.4349587,336442.2248296065
Substation,South,0.4181301229508197,1621250048.8131812,359822.4224418832
Substation,West,0.43304014791336504,1566880354.377988,360582.4776578674
Switchgear,Central,0.4359119496855346,1579665593.8418438,338942.79868134577
Switchgear,East,0.4349255213505462,1654210850.6265814,352343.4247076474
Switchgear,North,0.4254510108864697,1695947975.596154,432613.64970575145
Switchgear,South,0.43421772151898735,1537043699.9827175,347601.0509328172
Switchgear,West,0.4182566953006569,1625383118.531796,342328.87285765423
Transformer,Central,0.42927810902896085,1933442267.4427493,376565.1255803919
Transformer,East,0.4294589952769429,2235889573.370748,442835.6373618058
Transformer,North,0.43377242888402623,1972392803.1348724,405313.4603949504
Transformer,South,0.41422439439014025,1816837563.44025,308322.3820328629
Transformer,West,0.4355189707806367,1870959977.3967214,341639.95983258355
Transmission Line,Central,0.4370768458061276,1689610455.2291772,358387.45515788574
Transmission Line,East,0.4389824380165289,1767487353.2485356,423786.8023257659
Transmission Line,North,0.4174193548387097,1442567567.0261576,311712.9441443392
Transmission Line,South,0.4356085353003161,1636045257.1181216,364379.019714412
Transmission Line,West,0.42615757266700666,1811359127.191602,424232.6919472322
