asset_id,asset_type,asset_age_years,substation_region,manufacturer,power_load_mw,load_utilization_pct,voltage_fluctuation_pct,frequency_deviation_hz,transformer_temperature_c,oil_quality_score,equipment_health_score,vibration_level,maintenance_overdue_days,maintenance_events_last_12m,inspection_score,previous_outages_12m,avg_outage_duration_minutes,customer_complaints_last_12m,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,storm_risk_index,customers_served,estimated_revenue_loss,regulatory_penalty_cost,legacy_asset_code,grid_cluster_id,monitoring_batch_id,administrative_reference,grid_failure_flag
100000,Transmission Line,39,Central,ABB,282.8344996,81.26017787,1.411161015,-0.369930316,66.34091555,23.99326928,69.50157127,0.00459483,65,3,48.51791358,4,38.22052718,8,20.88210837,47.88897727,13.20081587,19.45662753,66.89639205,39815,586776.0706,340322.7969,139462,36,1711,810874,0
100001,Switchgear,29,Central,Schneider,113.757291,70.55397359,7.717055663,0.374569843,76.47667045,50.62791661,78.04243282,18.39481255,100,5,84.03181315,3,92.17188129,5,48.10316556,65.40458924,103.5139867,13.16476632,39.4873618,47370,801405.346,279753.2316,336586,37,5380,257421,0
100002,Transmission Line,15,North,ABB,77.58584134,39.11872814,11.18134756,0.024102791,68.7746848,,19.76928517,9.397241934,104,5,52.10831335,2,36.02900216,6,49.33174232,25.2414053,90.23882865,32.95545949,58.14330445,25676,251440.7434,355793.3994,964465,36,7231,428171,1
100003,Transmission Line,8,South,Schneider,84.91862513,96.99455,4.052006601,-0.162436078,81.82321653,,80.41945469,12.99912989,163,3,67.72155437,2,61.88628281,4,27.31104741,80.34019246,32.50923933,38.93327962,31.7477964,46451,942296.6773,27470.27066,234440,36,8277,336795,0
100004,Circuit Breaker,21,South,Schneider,101.4429605,84.96768888,5.130973238,-0.170869019,91.87440753,22.76875847,7.855176483,17.52791766,141,1,47.52937923,0,66.87975535,10,49.10983002,64.6359554,112.5240437,43.27900122,88.48338876,21706,20110.47724,464487.466,800776,4,6848,491835,1
100005,Substation,39,Central,ABB,68.13092131,98.01210801,11.07287728,-0.269914657,45.24663815,74.46220856,75.76686379,9.480910299,151,3,5.863554148,0,72.45227999,6,46.95534665,22.01361546,117.6400043,62.38988395,94.46594437,33470,664948.3768,38153.00467,339535,48,1513,858842,1
100006,Transformer,19,North,GE,24.29613547,66.41144588,3.014399389,-0.435843842,44.24181535,7.889701742,39.58079094,6.264831199,19,5,31.43812118,3,56.66556205,6,25.81674791,81.61071471,99.77343012,24.70850385,10.97601646,50575,852924.6349,264223.9188,457093,41,9871,753448,1
100007,Transmission Line,23,South,GE,43.87921037,46.0749899,2.684559511,-0.347731408,79.7250453,60.43833197,36.02830192,19.47937169,13,5,83.73492083,0,91.3439031,5,22.35252213,58.44012702,87.68014003,38.35846756,92.29099892,68208,782344.9353,370175.1561,719204,19,1167,218995,1
100008,Circuit Breaker,11,Central,Siemens,72.4419437,93.92692551,3.662961194,0.05541688,70.94252365,31.00114526,43.03704275,18.41651134,151,5,82.76436626,2,27.54327244,7,11.43907442,74.7820889,21.12312205,26.92258905,48.5558472,67435,248250.0464,150470.4758,576618,34,5505,173664,1
100009,Transmission Line,11,Central,GE,37.55912848,46.55973183,5.524398461,-0.80341133,77.29527833,78.54080823,7.102685642,7.394650342,72,5,18.31100282,1,80.4429267,6,27.29539543,54.12198297,8.855042822,2.737837793,39.7269847,16988,58411.71215,97011.29831,104657,18,2063,653817,1
100010,Circuit Breaker,24,North,Hitachi,90.92127908,35.85826991,13.51942311,0.028749923,50.28739137,11.43698366,17.66282797,1.681551489,148,1,50.91869808,1,35.66327793,3,40.62308106,42.12943442,13.60763932,73.09361312,3.002935641,53492,259546.4544,8227.847825,414174,28,2224,469349,1
100011,Transformer,36,South,Siemens,142.6970743,31.98716791,10.60208164,0.171140145,57.29445493,,77.01814236,18.7577528,1,2,89.39024493,3,38.43835219,2,22.35743726,90.54809669,69.30244122,45.79366142,83.89461423,18697,181881.8055,150393.2436,324523,23,1510,378222,0
100012,Substation,24,South,Siemens,60.01837997,31.39916665,12.2327838,0.305968308,63.10774058,31.58697972,80.47621206,10.38112176,6,4,9.294694359,6,123.7821002,6,46.47789055,29.14206629,78.29407149,41.34403695,1.5685198,11793,25123.7873,480020.0301,904475,31,5991,350491,1
100013,Circuit Breaker,3,North,ABB,73.50933565,46.76171611,13.19232692,-0.124879036,51.08263052,12.55697778,85.83166702,4.182521845,73,4,20.68918217,2,70.81183522,4,41.14312709,25.91417195,14.17580465,28.41017505,66.39145088,60871,274842.9755,349801.0233,796628,40,3689,108529,0
100014,Transmission Line,22,East,Siemens,84.43616612,44.94165437,5.780822443,-0.280721252,69.76500539,30.71504703,95.59892441,8.434266328,129,2,44.87514977,1,69.27125291,6,26.14848061,53.14877863,94.63487421,19.98443692,33.58388202,37121,482506.9376,343819.9204,426229,18,4222,204324,1
100015,Transmission Line,2,North,Siemens,78.35283067,93.89227494,12.20894793,-0.16510139,68.15286884,37.30679346,47.18929154,17.73881952,94,4,,5,18.32960256,7,18.49679447,62.54212173,105.2024476,11.34329297,38.30956748,17648,829719.1437,453102.3015,856483,5,2798,859672,1
100016,TRANSFORMER,24,East,ABB,91.39855574,55.10189142,4.320467563,0.494830894,73.49284813,20.14386205,59.0167508,5.457915728,39,2,28.41805149,3,75.10851379,5,31.00892869,39.2035629,17.70824364,12.87843548,44.5192081,10609,451150.6817,303428.8808,164188,29,6663,976911,0
100017,Circuit Breaker,30,East,Schneider,29.55479178,33.24182334,14.50910465,0.146232242,66.72161345,48.22128881,95.84755706,4.083161304,153,7,52.65794101,1,87.05323009,4,41.51934274,70.17575502,32.43582198,35.37347797,34.84471614,70231,907228.5976,385323.5696,807516,23,7199,292437,0
